,_cumulative_episode,_episode,_season,twss_count,first_episode,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,last_episode,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
46,46.0,19.0,3.0,0.0,0.0,1427.0,209.0,111.0,630.0,0.0,47.0,16.0,46.0,178.0,77.0,0.0,128.0,129.0,0.0,385.0,0.0,47.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47.0,20.0,3.0,1.0,0.0,1177.0,452.0,158.0,579.0,0.0,9.0,79.0,253.0,88.0,105.0,0.0,0.0,502.0,0.0,0.0,0.0,335.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48.0,21.0,3.0,0.0,0.0,1758.0,275.0,345.0,680.0,195.0,15.0,0.0,142.0,70.0,56.0,0.0,57.0,37.0,48.0,0.0,0.0,87.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49.0,22.0,3.0,1.0,0.0,2291.0,301.0,560.0,412.0,0.0,132.0,76.0,76.0,137.0,68.0,0.0,16.0,60.0,84.0,0.0,0.0,25.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50.0,23.0,3.0,0.0,0.0,1711.0,555.0,602.0,903.0,483.0,47.0,77.0,48.0,124.0,72.0,0.0,0.0,95.0,57.0,0.0,1.0,27.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51.0,1.0,4.0,0.0,1.0,2895.0,460.0,732.0,642.0,51.0,83.0,87.0,517.0,208.0,117.0,0.0,115.0,50.0,182.0,19.0,0.0,82.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52.0,2.0,4.0,1.0,0.0,2790.0,425.0,362.0,861.0,139.0,30.0,77.0,191.0,67.0,971.0,0.0,176.0,191.0,0.0,0.0,0.0,167.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53.0,3.0,4.0,0.0,0.0,2259.0,522.0,281.0,902.0,23.0,34.0,100.0,561.0,209.0,144.0,0.0,53.0,104.0,106.0,54.0,0.0,17.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54.0,4.0,4.0,1.0,0.0,2038.0,456.0,417.0,755.0,455.0,108.0,250.0,67.0,99.0,201.0,0.0,29.0,133.0,8.0,100.0,0.0,89.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55.0,5.0,4.0,0.0,0.0,1666.0,496.0,201.0,122.0,0.0,15.0,20.0,13.0,33.0,78.0,0.0,70.0,0.0,27.0,106.0,0.0,6.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56.0,6.0,4.0,0.0,0.0,1381.0,633.0,350.0,326.0,0.0,90.0,111.0,33.0,6.0,0.0,0.0,98.0,0.0,35.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57.0,7.0,4.0,2.0,0.0,1524.0,584.0,157.0,479.0,0.0,29.0,78.0,104.0,30.0,0.0,0.0,183.0,7.0,40.0,0.0,0.0,110.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58.0,8.0,4.0,4.0,0.0,1191.0,235.0,281.0,87.0,346.0,21.0,36.0,7.0,39.0,139.0,0.0,100.0,213.0,3.0,11.0,0.0,54.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59.0,9.0,4.0,1.0,0.0,1459.0,379.0,324.0,278.0,1033.0,3.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60.0,10.0,4.0,0.0,0.0,1765.0,233.0,416.0,312.0,0.0,12.0,24.0,13.0,226.0,0.0,0.0,45.0,74.0,0.0,0.0,0.0,31.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61.0,11.0,4.0,0.0,0.0,1203.0,497.0,160.0,398.0,0.0,95.0,56.0,24.0,17.0,638.0,0.0,142.0,48.0,1.0,0.0,0.0,16.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62.0,12.0,4.0,1.0,0.0,1398.0,274.0,279.0,431.0,0.0,282.0,11.0,14.0,101.0,312.0,0.0,140.0,80.0,2.0,94.0,0.0,40.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63.0,13.0,4.0,0.0,0.0,1365.0,362.0,346.0,210.0,0.0,0.0,23.0,16.0,101.0,0.0,0.0,0.0,14.0,8.0,53.0,0.0,48.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64.0,14.0,4.0,0.0,0.0,2301.0,893.0,384.0,481.0,221.0,68.0,80.0,165.0,156.0,40.0,0.0,622.0,78.0,69.0,7.0,1.0,138.0,297.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65.0,1.0,5.0,1.0,1.0,1930.0,785.0,263.0,669.0,125.0,147.0,183.0,253.0,58.0,253.0,0.0,95.0,198.0,46.0,121.0,0.0,22.0,561.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0
