,_cumulative_episode,_episode,_season,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
37,37.0,10.0,3.0,115.0,45.0,57.0,62.0,0.0,5.0,1.0,51.0,15.0,22.0,6.0,15.0,19.0,3.0,3.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38.0,11.0,3.0,100.0,33.0,43.0,39.0,14.0,10.0,0.0,7.0,10.0,2.0,7.0,9.0,2.0,2.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39.0,12.0,3.0,48.0,29.0,9.0,33.0,1.0,8.0,0.0,13.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40.0,13.0,3.0,48.0,25.0,10.0,25.0,0.0,2.0,11.0,14.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41.0,14.0,3.0,77.0,25.0,30.0,29.0,6.0,1.0,0.0,5.0,3.0,6.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42.0,15.0,3.0,49.0,19.0,15.0,25.0,0.0,2.0,0.0,3.0,4.0,0.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43.0,16.0,3.0,65.0,20.0,29.0,25.0,0.0,2.0,9.0,5.0,7.0,16.0,8.0,3.0,11.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44.0,17.0,3.0,85.0,22.0,24.0,35.0,47.0,5.0,1.0,3.0,12.0,12.0,24.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45.0,18.0,3.0,107.0,41.0,16.0,18.0,30.0,4.0,4.0,11.0,8.0,9.0,8.0,17.0,14.0,0.0,43.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46.0,19.0,3.0,102.0,31.0,21.0,70.0,0.0,5.0,3.0,5.0,22.0,9.0,0.0,8.0,11.0,0.0,32.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47.0,20.0,3.0,68.0,74.0,16.0,42.0,0.0,1.0,9.0,25.0,10.0,3.0,0.0,0.0,25.0,0.0,0.0,15.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48.0,21.0,3.0,92.0,33.0,36.0,46.0,17.0,2.0,0.0,11.0,11.0,5.0,0.0,7.0,7.0,5.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49.0,22.0,3.0,145.0,30.0,30.0,50.0,0.0,12.0,5.0,8.0,6.0,5.0,0.0,4.0,9.0,7.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50.0,23.0,3.0,123.0,65.0,51.0,70.0,43.0,7.0,12.0,6.0,17.0,4.0,0.0,0.0,7.0,6.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51.0,1.0,4.0,160.0,53.0,84.0,57.0,7.0,10.0,14.0,50.0,21.0,8.0,0.0,11.0,7.0,25.0,5.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52.0,2.0,4.0,158.0,48.0,56.0,74.0,17.0,5.0,8.0,23.0,16.0,85.0,0.0,18.0,24.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53.0,3.0,4.0,156.0,70.0,31.0,88.0,6.0,7.0,12.0,52.0,17.0,7.0,0.0,8.0,12.0,14.0,9.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54.0,4.0,4.0,159.0,52.0,56.0,53.0,40.0,7.0,32.0,10.0,12.0,21.0,0.0,2.0,13.0,1.0,10.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55.0,5.0,4.0,92.0,47.0,22.0,11.0,0.0,1.0,1.0,2.0,3.0,8.0,0.0,2.0,0.0,3.0,10.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56.0,6.0,4.0,90.0,78.0,26.0,44.0,0.0,10.0,12.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57.0,7.0,4.0,82.0,69.0,23.0,36.0,0.0,2.0,7.0,7.0,2.0,0.0,0.0,16.0,1.0,5.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58.0,8.0,4.0,89.0,27.0,25.0,5.0,30.0,3.0,4.0,1.0,4.0,10.0,0.0,4.0,15.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
